Date,Sac.cfs,SJR.cfs,Month,Year,Sub.group
1955-03-31T00:00:00Z,10145.236597952426,2056.2661889350265,3,1955,lomed
1955-04-30T00:00:00Z,11439.631015491266,2694.642753925627,4,1955,lomed
1955-05-31T00:00:00Z,11327.315938385796,2060.649789483335,5,1955,lomed
1955-06-30T00:00:00Z,15018.107582323655,1304.5155603121814,6,1955,medlo
1955-12-31T00:00:00Z,55105.24122208865,10595.430729089912,12,1955,hihi
1956-01-31T00:00:00Z,80819.84050299293,23295.478819469146,1,1956,hihi
1956-02-29T00:00:00Z,66008.18991273778,12197.870921611984,2,1956,hihi
1956-03-31T00:00:00Z,36775.34174157753,7915.9295847505,3,1956,hihi
1956-04-30T00:00:00Z,14491.051473434114,8676.38582545277,4,1956,medhi
1956-05-31T00:00:00Z,17718.325773856366,8158.876707250305,5,1956,medhi
1956-06-30T00:00:00Z,12045.32428347265,5382.036531953062,6,1956,lohi
1956-12-31T00:00:00Z,12557.286070499651,1609.9072361175708,12,1956,lolo
1957-01-31T00:00:00Z,12877.229362115135,1823.685077182936,1,1957,lolo
1957-02-28T00:00:00Z,17725.942246704333,2738.6774413058556,2,1957,medmed
1957-03-31T00:00:00Z,37818.49384779288,3557.719274766877,3,1957,himed
1957-04-30T00:00:00Z,12254.378806422203,3732.309160335341,4,1957,lomed
1957-05-31T00:00:00Z,21578.622098894506,2906.7273464103464,5,1957,medmed
1957-06-30T00:00:00Z,12450.74530675289,1772.6748086028838,6,1957,lolo
1957-12-31T00:00:00Z,24605.205232342894,1423.6392559049712,12,1957,medlo
1958-01-31T00:00:00Z,35265.548728056114,2765.284802335548,1,1958,himed
1958-02-28T00:00:00Z,79859.76362336658,3857.3842237341787,2,1958,himed
1958-03-31T00:00:00Z,70779.93381038353,10178.555369440757,3,1958,hihi
1958-04-30T00:00:00Z,68933.13073744018,17063.566979937426,4,1958,hihi
1958-05-31T00:00:00Z,23095.152632611702,12260.531184509344,5,1958,medhi
1958-06-30T00:00:00Z,14592.293253618584,5790.827882163757,6,1958,medhi
1958-12-31T00:00:00Z,15640.211140621446,1741.9855106477976,12,1958,medlo
1959-01-31T00:00:00Z,25224.65256271228,2732.1187554834555,1,1959,himed
1959-02-28T00:00:00Z,45186.683121004884,4573.696944435678,2,1959,hihi
1959-03-31T00:00:00Z,16573.731843828315,2827.2837289426875,3,1959,medmed
1959-04-30T00:00:00Z,11628.400730005182,3017.3709345958127,4,1959,lomed
1959-05-31T00:00:00Z,13147.332937525807,2252.4602306892352,5,1959,lomed
1959-06-30T00:00:00Z,13566.3907528096,1540.8850675444885,6,1959,medlo
1959-12-31T00:00:00Z,8548.845335137725,1271.5122718270861,12,1959,lolo
1960-01-31T00:00:00Z,11915.95722090226,1587.885909832671,1,1960,lolo
1960-02-29T00:00:00Z,32575.201422574773,2358.7132161159357,2,1960,himed
1960-03-31T00:00:00Z,21795.186499988726,2061.4075731728776,3,1960,medmed
1960-04-30T00:00:00Z,16083.804204198463,2138.1392839963382,4,1960,medmed
1960-05-31T00:00:00Z,9982.006901119035,1616.6443372868423,5,1960,lolo
1960-06-30T00:00:00Z,13510.944816405543,1354.143375902771,6,1960,medlo
1960-12-31T00:00:00Z,17217.180876901235,1180.4366559120554,12,1960,medlo
1961-01-31T00:00:00Z,11314.486373018604,1696.3444976103167,1,1961,lolo
1961-02-28T00:00:00Z,31918.020763047673,1789.9561260430282,2,1961,hilo
1961-03-31T00:00:00Z,16994.83633095349,1939.3526303549338,3,1961,medlo
1961-04-30T00:00:00Z,11855.858459824536,2077.5952061210937,4,1961,lomed
1961-05-31T00:00:00Z,11588.310891998555,1490.4238307247015,5,1961,lolo
1961-06-30T00:00:00Z,13597.891900909353,1137.1147882309526,6,1961,medlo
1961-12-31T00:00:00Z,15480.783170432658,1624.2154110432045,12,1961,medlo
1962-01-31T00:00:00Z,9864.450069361375,1640.6019234184462,1,1962,lolo
1962-02-28T00:00:00Z,54674.1402180372,6716.410836947101,2,1962,hihi
1962-03-31T00:00:00Z,23156.099980381194,2727.2232750922626,3,1962,medmed
1962-04-30T00:00:00Z,13958.6327550517,5022.197139658,4,1962,medhi
1962-05-31T00:00:00Z,14065.812173189239,3535.2458775250484,5,1962,medmed
1962-06-30T00:00:00Z,13010.141320266093,1922.201785348699,6,1962,lolo
1962-12-31T00:00:00Z,29370.689072912603,1489.6923374876374,12,1962,hilo
1963-01-31T00:00:00Z,17330.2592527452,1688.1973688178302,1,1963,medlo
1963-02-28T00:00:00Z,62240.853198195735,4150.649709730412,2,1963,hihi
1963-03-31T00:00:00Z,23840.55605386112,2739.287976172362,3,1963,medmed
1963-04-30T00:00:00Z,66515.61316047962,6692.775028465439,4,1963,hihi
1963-05-31T00:00:00Z,23853.6177548665,5405.351163761277,5,1963,medhi
1963-06-30T00:00:00Z,14791.657559000783,2602.917677510818,6,1963,medmed
1963-12-31T00:00:00Z,16082.367584748248,1387.518193940284,12,1963,medlo
1964-01-31T00:00:00Z,22530.55396111148,1735.2616503133336,1,1964,medlo
1964-02-29T00:00:00Z,13034.383547846466,1790.0446868627935,2,1964,lolo
1964-03-31T00:00:00Z,11109.973019826646,2028.8967263794432,3,1964,lomed
1964-04-30T00:00:00Z,11827.768397467544,2275.849564126299,4,1964,lomed
1964-05-31T00:00:00Z,11877.201336334027,1895.33966141939,5,1964,lolo
1964-06-30T00:00:00Z,14007.49222480732,1318.273186903398,6,1964,medlo
1964-12-31T00:00:00Z,48597.646749787324,2190.743942902551,12,1964,himed
1965-01-31T00:00:00Z,77641.22915621841,7538.112403948655,1,1965,hihi
1965-02-28T00:00:00Z,34209.2993477219,5805.84550354832,2,1965,hihi
1965-03-31T00:00:00Z,15018.891913618238,4669.735782141092,3,1965,medhi
1965-04-30T00:00:00Z,38285.77112943263,7906.686865569904,4,1965,hihi
1965-05-31T00:00:00Z,16280.773264501162,5078.036757675589,5,1965,medhi
1965-06-30T00:00:00Z,10953.593908957184,4038.0064570552104,6,1965,lomed
1965-12-31T00:00:00Z,13927.991114117023,3273.7592215989444,12,1965,medmed
1966-01-31T00:00:00Z,30240.569326792902,3438.618030494826,1,1966,himed
1966-02-28T00:00:00Z,25558.046605333657,3666.34929792243,2,1966,himed
1966-03-31T00:00:00Z,22355.650851279326,3541.783931043357,3,1966,medmed
1966-04-30T00:00:00Z,13651.721404050468,3536.5142082328953,4,1966,medmed
1966-05-31T00:00:00Z,12207.662637332838,2748.6562207766137,5,1966,lomed
1966-06-30T00:00:00Z,13445.415055057058,1740.4322105311028,6,1966,medlo
1966-12-31T00:00:00Z,36435.42382859821,2793.3785198789833,12,1966,himed
1967-01-31T00:00:00Z,43407.43151903731,2980.807388173072,1,1967,himed
1967-02-28T00:00:00Z,48597.02529228312,2838.552848310857,2,1967,himed
1967-03-31T00:00:00Z,45982.842358799215,7003.782339479529,3,1967,hihi
1967-04-30T00:00:00Z,45473.66222579287,13550.479367194916,4,1967,hihi
1967-05-31T00:00:00Z,34354.23584669103,12309.22666575791,5,1967,hihi
1967-06-30T00:00:00Z,19131.559350263604,12289.822866497789,6,1967,medhi
1967-12-31T00:00:00Z,13167.917538703243,1780.6047051579972,12,1967,lolo
1968-01-31T00:00:00Z,24269.81249730254,2038.8328093771154,1,1968,medmed
1968-02-29T00:00:00Z,45139.69779150104,3128.4070221938964,2,1968,himed
1968-03-31T00:00:00Z,31462.890235154002,2812.4325501016756,3,1968,himed
1968-04-30T00:00:00Z,12317.263937086016,2770.7950123386604,4,1968,lomed
1968-05-31T00:00:00Z,11317.944416426319,2127.167134904913,5,1968,lomed
1968-06-30T00:00:00Z,14330.3533519754,1473.9187690264484,6,1968,medlo
1968-12-31T00:00:00Z,23742.545273661177,1755.7010307073667,12,1968,medlo
1969-01-31T00:00:00Z,69509.89028114972,14446.808554839847,1,1969,hihi
1969-02-28T00:00:00Z,77255.96183273915,27657.316933846032,2,1969,hihi
1969-03-31T00:00:00Z,46423.56434389407,19687.154780661294,3,1969,hihi
1969-04-30T00:00:00Z,34341.980943474744,20186.906782551167,4,1969,hihi
1969-05-31T00:00:00Z,23764.71955259857,23913.430459798125,5,1969,medhi
1969-06-30T00:00:00Z,11568.506889688357,15582.493754763624,6,1969,lohi
